user,title,price,bed,bedroom,bathroom,guest_adult,guest_kid,guest_pet,stay_type,description,latitude,longitude
1455,힙한집,85373,9,2,4,5,4,3,2,제주도힙한집,-74.335206,-172.046581
1456,ㅋㅋ집,40706,4,5,3,2,5,6,3,제주도ㅋㅋ집,-67.085769,48.522188
1457,ㅎㅎ집,47980,5,2,4,6,5,7,4,제주도ㅎㅎ집,35.690467,-128.577307
1458,ㅁㅁ집,112078,7,5,4,4,2,5,1,제주도ㅁㅁ집,22.607649,-78.454881
1459,멋진집,50039,4,2,3,2,4,2,4,제주도멋진집,57.997422,44.834916
1460,쿨한집,48638,9,2,4,4,5,2,3,제주도쿨한집,36.218911,88.940824
1461,힙한집,107028,7,2,2,3,3,6,3,제주도힙한집,-13.232272,9.238103
1462,ㅋㅋ집,48900,7,2,3,5,5,3,1,제주도ㅋㅋ집,88.958205,-126.726354
1463,ㅎㅎ집,70009,5,5,4,6,2,6,2,제주도ㅎㅎ집,-60.469033,31.368225
1464,ㅁㅁ집,88392,8,2,2,4,3,7,1,제주도ㅁㅁ집,1.418188,-145.719778
1465,멋진집,46387,7,4,4,3,3,2,4,제주도멋진집,6.5898,-86.252464
1466,쿨한집,118218,5,4,2,5,5,7,4,제주도쿨한집,82.071228,171.368017
1467,힙한집,94516,7,4,2,1,5,3,3,제주도힙한집,-56.957133,-159.25462
1468,ㅋㅋ집,32868,5,4,3,2,2,5,4,제주도ㅋㅋ집,-63.932801,54.986708
1469,ㅎㅎ집,87952,9,3,2,6,4,2,2,제주도ㅎㅎ집,31.074833,69.395904
1470,ㅁㅁ집,49406,4,3,4,3,2,3,2,제주도ㅁㅁ집,50.391448,43.880245
1471,멋진집,41798,8,3,3,2,4,4,2,제주도멋진집,11.576035,-28.835954
1472,쿨한집,98972,7,5,4,3,2,2,4,제주도쿨한집,-73.295949,-51.758873
1473,힙한집,42305,8,3,2,5,2,2,1,제주도힙한집,-54.300744,161.717408
1474,ㅋㅋ집,87137,7,5,4,2,5,5,4,제주도ㅋㅋ집,-48.910517,157.321713
1475,ㅎㅎ집,72183,7,4,4,2,2,3,3,제주도ㅎㅎ집,-47.962029,127.479954
1476,ㅁㅁ집,83001,8,3,2,4,5,6,2,제주도ㅁㅁ집,-80.714202,-60.693735
1477,멋진집,111259,9,5,4,3,3,5,3,제주도멋진집,76.159806,-154.178431
1478,쿨한집,94965,9,4,3,6,2,7,1,제주도쿨한집,3.082049,-130.468106
1479,힙한집,56252,9,2,3,2,2,5,3,제주도힙한집,82.755539,133.808386
1480,ㅋㅋ집,50416,8,3,4,2,3,4,2,제주도ㅋㅋ집,51.381734,-138.088015
1481,ㅎㅎ집,118517,8,4,2,6,3,3,3,제주도ㅎㅎ집,-27.7666,-169.739917
1482,ㅁㅁ집,129588,3,3,3,6,5,6,4,제주도ㅁㅁ집,-67.598214,132.23229
1483,멋진집,56270,4,3,2,2,5,3,2,제주도멋진집,12.830204,-102.684934
1484,쿨한집,92949,6,2,3,4,3,7,3,제주도쿨한집,-47.354416,-161.446723
1485,힙한집,92787,9,5,4,4,2,6,2,제주도힙한집,34.916117,-91.200031
1486,ㅋㅋ집,64579,7,2,4,3,3,7,1,제주도ㅋㅋ집,76.252792,-75.91769
1487,ㅎㅎ집,86452,4,4,2,2,5,6,3,제주도ㅎㅎ집,-81.1075,-0.43014
1488,ㅁㅁ집,89146,7,5,3,5,4,2,1,제주도ㅁㅁ집,-85.751638,-44.478244
1489,멋진집,107807,5,5,4,2,2,5,1,제주도멋진집,83.738761,136.886631
1490,쿨한집,110905,4,4,4,5,3,5,3,제주도쿨한집,77.810588,42.123946
1491,힙한집,55630,4,2,2,5,3,2,4,제주도힙한집,-44.266573,-45.78072
1492,ㅋㅋ집,43209,4,2,3,6,5,2,2,제주도ㅋㅋ집,80.238815,37.686497
1493,ㅎㅎ집,104578,4,5,2,3,3,2,4,제주도ㅎㅎ집,1.098094,0.087909
1494,ㅁㅁ집,115545,5,2,2,5,3,3,3,제주도ㅁㅁ집,-12.327149,82.822677
1495,멋진집,124473,4,2,2,1,3,3,2,제주도멋진집,-8.705738,98.366791
1496,쿨한집,31421,5,2,2,4,4,4,1,제주도쿨한집,54.208526,-25.514587
1497,힙한집,82519,5,5,2,2,3,3,1,제주도힙한집,-16.490915,-81.431592
1498,ㅋㅋ집,119342,7,5,3,4,5,3,1,제주도ㅋㅋ집,-30.160014,143.482023
1499,ㅎㅎ집,128683,9,2,3,1,3,5,1,제주도ㅎㅎ집,-66.374651,-160.067406
1500,ㅁㅁ집,55405,6,3,4,5,4,4,3,제주도ㅁㅁ집,23.173906,91.283607
1501,멋진집,48287,4,2,3,4,5,7,2,제주도멋진집,-64.125033,174.650758
1502,쿨한집,120427,7,5,2,3,2,3,1,제주도쿨한집,-9.797797,-109.370241
1503,힙한집,129426,6,4,2,3,5,4,1,제주도힙한집,57.678187,-35.602498
1504,ㅋㅋ집,87170,9,3,2,5,2,6,3,제주도ㅋㅋ집,-2.752524,-20.799431
1505,ㅎㅎ집,53717,7,4,4,2,3,2,1,제주도ㅎㅎ집,-15.811647,-20.221331
1506,ㅁㅁ집,120620,6,5,4,1,5,7,3,제주도ㅁㅁ집,43.732427,134.043961
1507,멋진집,52759,7,3,2,1,4,2,1,제주도멋진집,43.174114,151.718103
1508,쿨한집,92133,6,3,3,2,4,2,1,제주도쿨한집,88.45597,-168.296679
1509,힙한집,37607,5,5,4,2,3,5,2,제주도힙한집,-65.482022,152.704263
1510,ㅋㅋ집,128726,7,4,4,3,3,3,4,제주도ㅋㅋ집,52.932051,113.407422
1511,ㅎㅎ집,70934,4,4,4,6,3,4,4,제주도ㅎㅎ집,-58.703185,-72.166366
1512,ㅁㅁ집,33203,8,5,4,3,4,3,3,제주도ㅁㅁ집,-55.027054,167.7079
1513,멋진집,110016,7,5,4,4,3,2,1,제주도멋진집,71.702123,-77.520097
1514,쿨한집,56885,7,2,4,6,3,4,3,제주도쿨한집,-35.450813,-90.850755
1515,힙한집,60170,3,5,2,5,3,2,1,제주도힙한집,-22.41532,55.067251
1516,ㅋㅋ집,91550,9,5,3,4,3,4,1,제주도ㅋㅋ집,38.068808,128.626955
1517,ㅎㅎ집,82284,6,4,4,4,5,3,3,제주도ㅎㅎ집,69.861155,-62.157192
1518,ㅁㅁ집,73943,4,5,3,5,2,2,3,제주도ㅁㅁ집,-75.813256,169.852852
1519,멋진집,41885,4,2,3,2,3,2,4,제주도멋진집,31.15311,11.857707
1520,쿨한집,87794,4,2,4,2,2,6,4,제주도쿨한집,48.24119,160.746552
1521,힙한집,51175,8,5,3,5,5,2,3,제주도힙한집,18.657926,98.838273
1522,ㅋㅋ집,73299,8,5,2,2,3,6,4,제주도ㅋㅋ집,59.140219,105.679731
1523,ㅎㅎ집,77342,3,5,2,2,4,6,2,제주도ㅎㅎ집,-53.744409,44.639966
1524,ㅁㅁ집,51168,4,4,4,2,5,6,2,제주도ㅁㅁ집,-5.726079,-125.489498
1525,멋진집,91310,8,4,4,5,2,7,4,제주도멋진집,-65.823567,167.035326
1526,쿨한집,71729,8,5,2,4,2,5,1,제주도쿨한집,68.652953,-89.421186
1527,힙한집,39275,8,2,2,1,2,5,2,제주도힙한집,-28.803581,93.326115
1528,ㅋㅋ집,63548,8,4,3,2,3,5,1,제주도ㅋㅋ집,14.382877,-151.264134
1529,ㅎㅎ집,96534,7,5,4,2,3,3,1,제주도ㅎㅎ집,61.355218,177.446358
1530,ㅁㅁ집,80432,8,2,3,6,5,4,1,제주도ㅁㅁ집,-32.251004,-34.378454
1531,멋진집,128331,4,4,3,3,3,7,2,제주도멋진집,1.736769,-63.279087
1532,쿨한집,100299,7,4,4,3,4,7,4,제주도쿨한집,-57.857813,160.47875
1533,힙한집,37858,6,2,4,1,5,5,1,제주도힙한집,26.103666,28.270137
1534,ㅋㅋ집,79836,6,3,3,6,3,7,1,제주도ㅋㅋ집,-84.098366,-98.377004
1535,ㅎㅎ집,36975,6,5,4,3,2,6,3,제주도ㅎㅎ집,-8.61025,175.338925
1536,ㅁㅁ집,100532,8,5,4,1,5,7,3,제주도ㅁㅁ집,41.54446,30.214561
1537,멋진집,73346,6,2,2,1,5,3,2,제주도멋진집,79.545631,-56.164609
1538,쿨한집,85696,6,4,2,4,4,5,1,제주도쿨한집,65.018049,-138.720193
1539,힙한집,89054,8,5,4,5,2,5,3,제주도힙한집,-0.621028,166.47312
1540,ㅋㅋ집,125601,6,2,2,1,5,2,3,제주도ㅋㅋ집,15.333824,57.19244
1541,ㅎㅎ집,53551,9,5,4,4,4,6,4,제주도ㅎㅎ집,-25.723785,31.629964
1542,ㅁㅁ집,115574,5,3,3,2,3,7,3,제주도ㅁㅁ집,-17.431526,-140.624093
1543,멋진집,99262,3,5,4,6,5,3,1,제주도멋진집,18.539061,69.997639
1544,쿨한집,106612,9,5,4,4,5,5,3,제주도쿨한집,-21.339333,81.268749
1545,힙한집,115118,9,3,2,3,3,5,1,제주도힙한집,-56.91595,126.058373
1546,ㅋㅋ집,52001,4,4,4,2,4,2,2,제주도ㅋㅋ집,85.160681,74.177446
1547,ㅎㅎ집,103563,6,5,4,4,2,4,2,제주도ㅎㅎ집,-59.934492,153.270156
1548,ㅁㅁ집,39194,7,4,3,1,4,2,4,제주도ㅁㅁ집,16.142301,-174.780125
1549,멋진집,44626,9,3,4,2,2,2,4,제주도멋진집,-25.717307,89.578398
1550,쿨한집,51468,8,2,4,4,2,6,4,제주도쿨한집,75.458361,13.958452
1551,힙한집,108916,3,5,3,4,4,7,4,제주도힙한집,29.775067,39.632161
1552,ㅋㅋ집,56952,4,3,3,6,3,4,2,제주도ㅋㅋ집,-45.426313,65.479922
1553,ㅎㅎ집,125008,8,2,3,3,5,4,4,제주도ㅎㅎ집,-45.388773,46.125176
1554,ㅁㅁ집,66835,8,2,4,3,5,7,3,제주도ㅁㅁ집,51.064633,109.669348
1555,멋진집,98689,5,2,3,3,2,6,3,제주도멋진집,-48.583133,-172.611744
1556,쿨한집,103785,5,2,2,4,4,6,3,제주도쿨한집,85.817748,109.444135
1557,힙한집,47598,7,2,4,3,5,5,1,제주도힙한집,-19.394415,12.238992
1558,ㅋㅋ집,34823,4,4,4,1,4,4,4,제주도ㅋㅋ집,47.839581,-171.919558
1559,ㅎㅎ집,108740,9,5,2,3,2,7,2,제주도ㅎㅎ집,-63.421666,74.778326
1560,ㅁㅁ집,129629,5,5,3,1,5,2,1,제주도ㅁㅁ집,4.814749,23.924243
1561,멋진집,84380,5,3,3,2,2,6,4,제주도멋진집,2.408466,148.070972
1562,쿨한집,129993,9,3,4,4,4,3,3,제주도쿨한집,12.09324,39.303082
1563,힙한집,58380,7,3,2,1,3,6,2,제주도힙한집,-72.141132,61.339486
1564,ㅋㅋ집,54251,3,3,4,5,5,3,4,제주도ㅋㅋ집,-13.814438,162.037228
1565,ㅎㅎ집,66967,8,3,4,6,2,2,2,제주도ㅎㅎ집,60.177191,-106.551659
1566,ㅁㅁ집,101900,9,5,2,4,4,2,1,제주도ㅁㅁ집,86.193362,108.411337
1567,멋진집,80309,9,2,2,4,4,6,4,제주도멋진집,32.238158,-102.812912
1568,쿨한집,79304,7,2,3,2,2,3,2,제주도쿨한집,49.563644,74.754329
1569,힙한집,111582,8,5,4,3,3,5,1,제주도힙한집,42.565094,-96.560769
1570,ㅋㅋ집,93124,5,3,2,4,2,4,2,제주도ㅋㅋ집,0.349688,52.957431
1571,ㅎㅎ집,44078,6,2,3,3,2,6,4,제주도ㅎㅎ집,-25.055045,-0.872644
1572,ㅁㅁ집,80160,8,4,4,5,5,3,3,제주도ㅁㅁ집,78.575788,28.532344
1573,멋진집,62582,7,5,4,3,3,5,2,제주도멋진집,-40.806267,113.364274
1574,쿨한집,82402,4,5,4,5,3,5,3,제주도쿨한집,69.684293,-123.505562
1575,힙한집,108790,8,5,4,1,5,5,4,제주도힙한집,20.635928,66.146743
1576,ㅋㅋ집,75939,3,4,3,2,3,5,3,제주도ㅋㅋ집,1.301871,1.894798
1577,ㅎㅎ집,101018,6,5,2,1,4,6,3,제주도ㅎㅎ집,74.599276,44.960495
1578,ㅁㅁ집,109339,5,3,3,4,4,4,2,제주도ㅁㅁ집,40.170095,-107.209927
1579,멋진집,72433,7,5,2,4,2,5,2,제주도멋진집,-31.676722,166.705934
1580,쿨한집,58640,4,4,2,3,5,2,4,제주도쿨한집,-68.921085,-158.474468
1581,힙한집,79212,4,5,4,3,2,5,1,제주도힙한집,-60.171914,53.410526
1582,ㅋㅋ집,114988,6,5,2,5,5,6,4,제주도ㅋㅋ집,-70.3826,-23.764213
1583,ㅎㅎ집,107651,8,2,3,2,2,2,1,제주도ㅎㅎ집,89.243566,-23.600611
1584,ㅁㅁ집,60456,8,3,2,3,2,4,2,제주도ㅁㅁ집,5.675007,-17.617078
1585,멋진집,97620,3,5,2,1,5,3,3,제주도멋진집,-20.327171,169.208178
1586,쿨한집,76044,8,2,4,1,3,5,4,제주도쿨한집,-89.389087,-68.974476
1587,힙한집,86715,7,4,2,5,4,5,3,제주도힙한집,2.739166,176.923928
1588,ㅋㅋ집,52094,4,2,2,6,5,5,4,제주도ㅋㅋ집,70.143735,-103.461984
1589,ㅎㅎ집,35914,5,5,2,3,4,2,4,제주도ㅎㅎ집,-51.518195,109.339034
1590,ㅁㅁ집,119492,7,4,4,6,2,4,4,제주도ㅁㅁ집,-78.852655,-75.000973
1591,멋진집,102094,8,4,3,6,4,5,1,제주도멋진집,-25.772297,145.932852
1592,쿨한집,94352,7,4,2,6,2,2,2,제주도쿨한집,-35.92006,-128.114625
1593,힙한집,86768,6,5,4,6,2,3,2,제주도힙한집,-4.45933,119.012734
1594,ㅋㅋ집,79233,9,2,4,6,4,5,4,제주도ㅋㅋ집,25.696391,-16.385304
1595,ㅎㅎ집,83230,9,4,3,3,3,3,1,제주도ㅎㅎ집,-48.536367,92.234803
1596,ㅁㅁ집,110185,6,4,2,3,4,3,4,제주도ㅁㅁ집,17.532837,-125.4296
1597,멋진집,117785,4,3,4,1,2,7,2,제주도멋진집,-17.782874,158.191229
1598,쿨한집,96578,9,5,4,5,4,7,4,제주도쿨한집,-55.494494,165.337459
1599,힙한집,95039,4,3,4,2,4,3,4,제주도힙한집,-69.449833,81.929373
1600,ㅋㅋ집,105174,3,5,3,5,2,6,2,제주도ㅋㅋ집,51.492549,-42.077302
1601,ㅎㅎ집,104749,4,2,4,5,4,2,4,제주도ㅎㅎ집,-52.624514,-33.584671
1602,ㅁㅁ집,72421,8,4,4,2,5,3,3,제주도ㅁㅁ집,-17.808374,-38.202696
1603,멋진집,79076,7,5,3,2,2,6,3,제주도멋진집,1.538516,-161.545667
1604,쿨한집,40549,8,3,2,4,3,3,1,제주도쿨한집,18.651416,-14.120009
1605,힙한집,37646,7,5,2,5,4,7,2,제주도힙한집,65.009512,-35.060572
1606,ㅋㅋ집,50512,7,3,4,1,2,4,1,제주도ㅋㅋ집,-21.989538,4.394568
1607,ㅎㅎ집,64488,8,3,4,6,5,2,2,제주도ㅎㅎ집,4.955439,23.152251
1608,ㅁㅁ집,54837,8,5,3,5,3,3,4,제주도ㅁㅁ집,28.051524,60.332407
1609,멋진집,99834,7,4,4,2,4,4,1,제주도멋진집,78.608291,-13.057681
1610,쿨한집,48437,6,4,3,1,3,3,2,제주도쿨한집,9.666924,73.598283
1611,힙한집,32565,7,2,3,4,2,4,3,제주도힙한집,-64.771082,152.846727
1612,ㅋㅋ집,37703,3,3,2,1,5,4,3,제주도ㅋㅋ집,53.264994,59.5126
1613,ㅎㅎ집,60288,4,3,3,4,4,7,3,제주도ㅎㅎ집,-89.538665,-95.410312
1614,ㅁㅁ집,55769,7,4,2,4,2,6,4,제주도ㅁㅁ집,-49.87242,-21.995767
1615,멋진집,66089,8,4,2,1,3,2,2,제주도멋진집,-5.264281,-172.948197
1616,쿨한집,82726,8,4,3,5,5,3,4,제주도쿨한집,47.913901,68.502124
1617,힙한집,99056,3,2,2,3,4,4,4,제주도힙한집,70.925457,-54.018229
1618,ㅋㅋ집,87271,7,2,2,2,4,6,1,제주도ㅋㅋ집,-17.380994,177.289651
1619,ㅎㅎ집,52648,6,3,2,1,2,3,4,제주도ㅎㅎ집,13.073527,-0.179441
1620,ㅁㅁ집,84581,6,3,4,1,4,7,4,제주도ㅁㅁ집,24.621653,-106.880106
1621,멋진집,106793,3,3,4,3,5,4,2,제주도멋진집,12.61744,105.52736
1622,쿨한집,113171,9,2,2,3,3,3,2,제주도쿨한집,-57.156725,-173.478059
1623,힙한집,39739,9,2,4,3,3,7,1,제주도힙한집,0.164165,-120.128326
1624,ㅋㅋ집,100537,7,2,3,1,4,7,1,제주도ㅋㅋ집,-46.102063,54.904069
1625,ㅎㅎ집,60747,9,3,4,4,4,5,3,제주도ㅎㅎ집,87.56289,-11.956666
1626,ㅁㅁ집,88174,5,4,2,2,4,2,4,제주도ㅁㅁ집,59.414726,138.848847
1627,멋진집,58650,5,4,2,1,5,2,2,제주도멋진집,58.923464,-122.484043
1628,쿨한집,66165,7,3,4,6,5,3,3,제주도쿨한집,27.994484,-52.406315
1629,힙한집,81560,4,2,4,2,4,4,2,제주도힙한집,11.523075,169.886515
1630,ㅋㅋ집,66258,4,5,2,1,4,7,3,제주도ㅋㅋ집,43.619606,-80.581847
1631,ㅎㅎ집,44051,9,4,4,5,2,2,4,제주도ㅎㅎ집,83.48702,-1.962952
1632,ㅁㅁ집,40811,6,4,4,4,5,2,4,제주도ㅁㅁ집,31.428994,-5.538036
1633,멋진집,117942,8,3,2,3,5,3,3,제주도멋진집,-20.962066,109.682585
1634,쿨한집,119229,3,3,3,1,3,2,2,제주도쿨한집,37.822966,-104.555041
1635,힙한집,76666,8,4,4,3,2,7,3,제주도힙한집,52.360302,8.56402
1636,ㅋㅋ집,59663,3,4,2,4,2,3,1,제주도ㅋㅋ집,4.659804,121.048367
1637,ㅎㅎ집,89600,3,5,4,5,2,6,1,제주도ㅎㅎ집,-54.835081,-83.275423
1638,ㅁㅁ집,73601,9,2,2,1,3,5,3,제주도ㅁㅁ집,-71.805176,15.665174
1639,멋진집,67508,9,4,4,2,5,6,1,제주도멋진집,-67.634851,-60.894296
1640,쿨한집,86116,3,4,4,6,4,5,2,제주도쿨한집,-59.696009,-70.718221
1641,힙한집,42693,9,5,2,2,4,6,3,제주도힙한집,35.459644,-33.128761
1642,ㅋㅋ집,42581,6,2,2,1,2,7,2,제주도ㅋㅋ집,-38.099777,176.984015
1643,ㅎㅎ집,83939,6,3,2,5,3,5,3,제주도ㅎㅎ집,-1.116167,138.299924
1644,ㅁㅁ집,90682,5,4,3,6,2,5,4,제주도ㅁㅁ집,-67.673247,-173.317272
1645,멋진집,36659,5,5,2,4,4,6,4,제주도멋진집,-35.564224,-116.216593
1646,쿨한집,57756,9,5,2,2,2,7,1,제주도쿨한집,-78.504518,136.948676
1647,힙한집,90134,7,3,4,5,4,6,4,제주도힙한집,10.655698,-169.436603
1648,ㅋㅋ집,30821,7,4,2,5,4,4,3,제주도ㅋㅋ집,-32.2099,68.277457
1649,ㅎㅎ집,86416,7,2,2,1,5,2,4,제주도ㅎㅎ집,54.558053,137.594374
1650,ㅁㅁ집,98545,6,3,3,5,5,3,2,제주도ㅁㅁ집,59.99565,-112.255388
1651,멋진집,37537,6,5,4,5,3,6,2,제주도멋진집,-46.739762,-166.289169
1652,쿨한집,69845,3,5,3,5,3,3,2,제주도쿨한집,-51.965997,169.052451
1653,힙한집,129776,5,5,2,6,2,6,4,제주도힙한집,72.763568,53.61798
1654,ㅋㅋ집,76565,7,3,3,3,3,4,1,제주도ㅋㅋ집,-71.074258,140.735252
1655,ㅎㅎ집,94522,9,3,2,2,2,4,4,제주도ㅎㅎ집,-35.575529,-5.255282
1656,ㅁㅁ집,52432,4,4,4,6,5,7,2,제주도ㅁㅁ집,-28.426672,41.222932
1657,멋진집,76290,5,2,4,5,5,6,2,제주도멋진집,19.573071,-69.544027
1658,쿨한집,56765,9,2,3,5,3,6,3,제주도쿨한집,-61.358944,-79.864848
1659,힙한집,48674,3,4,2,3,3,3,3,제주도힙한집,36.421316,66.399997
1660,ㅋㅋ집,49326,3,2,4,6,2,4,2,제주도ㅋㅋ집,24.529074,103.284429
1661,ㅎㅎ집,120828,6,5,4,5,5,2,2,제주도ㅎㅎ집,57.045268,39.874094
1662,ㅁㅁ집,87497,4,5,4,1,3,5,1,제주도ㅁㅁ집,55.299507,70.227104
1663,멋진집,50024,5,4,3,3,5,3,4,제주도멋진집,-3.920387,98.16066
1664,쿨한집,94425,4,5,3,2,2,6,4,제주도쿨한집,66.0725,-143.238353
1665,힙한집,72852,8,5,2,2,2,2,1,제주도힙한집,-33.856391,-119.925992
1666,ㅋㅋ집,67676,3,2,2,6,3,6,1,제주도ㅋㅋ집,62.091559,-137.396176
1667,ㅎㅎ집,88989,7,3,2,4,4,7,1,제주도ㅎㅎ집,-28.694685,112.848146
1668,ㅁㅁ집,63729,4,4,3,1,2,4,3,제주도ㅁㅁ집,-53.854036,151.76431
1669,멋진집,60665,6,3,2,2,2,7,2,제주도멋진집,1.526407,99.496165
1670,쿨한집,100751,3,4,4,2,3,6,2,제주도쿨한집,-66.318994,-151.764764
1671,힙한집,118955,9,5,2,5,3,3,4,제주도힙한집,-15.482717,163.514188
1672,ㅋㅋ집,87539,7,3,3,4,2,3,3,제주도ㅋㅋ집,-49.365571,163.904873
1673,ㅎㅎ집,118812,6,4,2,5,2,7,3,제주도ㅎㅎ집,82.337588,-119.953659
1674,ㅁㅁ집,72415,9,2,2,6,3,3,3,제주도ㅁㅁ집,-47.717486,73.732785
1675,멋진집,40119,9,2,3,2,4,7,1,제주도멋진집,48.030069,95.25355
1676,쿨한집,44779,4,4,2,6,5,7,2,제주도쿨한집,15.19671,-17.171625
1677,힙한집,56391,3,4,4,2,4,3,4,제주도힙한집,21.266724,-93.353474
1678,ㅋㅋ집,41806,7,5,3,2,3,5,1,제주도ㅋㅋ집,-48.60055,-147.997675
1679,ㅎㅎ집,58617,9,3,4,4,2,6,3,제주도ㅎㅎ집,-5.8301,-47.314953
1680,ㅁㅁ집,61486,7,4,2,2,4,2,1,제주도ㅁㅁ집,-56.874238,-133.449997
1681,멋진집,34193,8,5,3,5,2,3,1,제주도멋진집,-29.036566,-165.731354
1682,쿨한집,54437,7,4,2,6,2,6,4,제주도쿨한집,8.968288,84.547596
1683,힙한집,122901,3,5,3,5,3,5,1,제주도힙한집,73.789044,136.231865
1684,ㅋㅋ집,124284,9,3,4,3,2,3,4,제주도ㅋㅋ집,84.892437,5.991129
1685,ㅎㅎ집,49382,7,4,3,5,3,2,2,제주도ㅎㅎ집,56.832659,34.117308
1686,ㅁㅁ집,69132,7,2,2,1,3,4,2,제주도ㅁㅁ집,45.503364,36.006571
1687,멋진집,118000,8,4,4,3,5,5,3,제주도멋진집,-79.152376,158.965092
1688,쿨한집,124018,4,3,2,4,4,7,4,제주도쿨한집,-12.562798,30.550172
1689,힙한집,37875,8,5,2,6,3,5,3,제주도힙한집,8.303687,77.38567
1690,ㅋㅋ집,41000,4,2,3,3,3,6,1,제주도ㅋㅋ집,34.808592,-138.926758
1691,ㅎㅎ집,67502,4,5,3,1,2,3,4,제주도ㅎㅎ집,-72.139135,150.657227
1692,ㅁㅁ집,64800,7,5,3,4,3,3,2,제주도ㅁㅁ집,-40.190343,-51.760341
1693,멋진집,56616,3,4,2,1,2,3,1,제주도멋진집,76.857255,18.016345
1694,쿨한집,117761,9,3,3,5,4,6,1,제주도쿨한집,64.920279,39.777745
1695,힙한집,52947,3,2,2,2,2,3,1,제주도힙한집,27.263633,-63.174737
1696,ㅋㅋ집,109310,3,4,4,3,5,2,2,제주도ㅋㅋ집,-31.58431,72.866326
1697,ㅎㅎ집,100607,5,5,4,6,2,5,2,제주도ㅎㅎ집,38.411381,-14.843001
1698,ㅁㅁ집,87744,7,5,2,4,5,4,2,제주도ㅁㅁ집,15.167903,109.168042
1699,멋진집,110852,6,2,4,1,2,6,3,제주도멋진집,-12.876948,67.925533
1700,쿨한집,82481,6,4,4,4,4,2,4,제주도쿨한집,-70.082726,65.926317
1701,힙한집,42893,4,4,2,3,2,2,1,제주도힙한집,0.10813,-68.491812
1702,ㅋㅋ집,64418,9,5,4,4,2,7,1,제주도ㅋㅋ집,-18.41266,-72.243312
1703,ㅎㅎ집,108657,8,4,4,4,4,4,2,제주도ㅎㅎ집,26.133918,147.495675
1704,ㅁㅁ집,122629,3,3,3,5,3,2,4,제주도ㅁㅁ집,32.740215,32.333118
1705,멋진집,59575,5,4,4,3,5,3,3,제주도멋진집,47.109744,125.518681
1706,쿨한집,104554,3,5,2,3,4,3,3,제주도쿨한집,-72.606316,53.666549
1707,힙한집,32657,6,2,3,2,4,6,4,제주도힙한집,-87.539525,7.921508
1708,ㅋㅋ집,51534,8,3,3,2,3,7,4,제주도ㅋㅋ집,69.180063,-63.209374
1709,ㅎㅎ집,116523,9,3,4,3,3,6,3,제주도ㅎㅎ집,-46.29588,-116.608446
1710,ㅁㅁ집,34925,7,5,3,3,4,4,1,제주도ㅁㅁ집,77.8185,-141.770478
1711,멋진집,43316,7,5,4,3,4,5,4,제주도멋진집,-6.257896,-171.360162
1712,쿨한집,33206,6,3,3,2,5,3,4,제주도쿨한집,19.256835,131.569807
1713,힙한집,49603,4,4,3,3,5,4,1,제주도힙한집,-55.164059,71.121828
1714,ㅋㅋ집,105927,4,5,3,6,3,3,1,제주도ㅋㅋ집,79.338949,-146.137122
1715,ㅎㅎ집,66367,9,5,4,1,2,3,2,제주도ㅎㅎ집,-88.540744,23.970511
1716,ㅁㅁ집,104765,9,3,3,2,3,3,2,제주도ㅁㅁ집,34.754147,-53.358059
1717,멋진집,66057,6,2,3,3,4,6,4,제주도멋진집,89.121232,-132.705489
1718,쿨한집,99572,9,4,2,1,2,6,3,제주도쿨한집,22.173909,-51.632161
1719,힙한집,91713,8,4,3,4,4,3,2,제주도힙한집,-38.13995,126.404431
1720,ㅋㅋ집,92305,7,4,3,3,2,3,3,제주도ㅋㅋ집,27.288561,89.567425
1721,ㅎㅎ집,31068,3,5,4,3,3,3,2,제주도ㅎㅎ집,-47.530581,-75.870392
1722,ㅁㅁ집,94023,3,3,3,4,3,6,3,제주도ㅁㅁ집,-78.105119,147.365573
1723,멋진집,46382,3,3,2,2,5,3,4,제주도멋진집,-2.223334,-163.943494
1724,쿨한집,69639,4,2,2,2,5,2,3,제주도쿨한집,67.790195,-124.766048
1725,힙한집,80649,3,4,2,4,5,6,4,제주도힙한집,-57.371456,-42.731523
1726,ㅋㅋ집,127159,5,2,3,6,5,2,2,제주도ㅋㅋ집,-68.902881,-107.593968
1727,ㅎㅎ집,92639,8,3,2,3,5,3,4,제주도ㅎㅎ집,-59.085268,138.12577
1728,ㅁㅁ집,78402,9,4,3,4,2,6,1,제주도ㅁㅁ집,56.435698,14.483457
1729,멋진집,119595,6,2,3,3,2,5,1,제주도멋진집,69.285483,14.053693
1730,쿨한집,107627,7,2,2,2,3,6,4,제주도쿨한집,-14.70095,-55.644748
1731,힙한집,77868,8,4,4,3,2,7,4,제주도힙한집,12.57769,147.587394
1732,ㅋㅋ집,104341,7,2,4,4,2,7,2,제주도ㅋㅋ집,-18.140147,-124.137627
1733,ㅎㅎ집,121614,3,4,4,1,5,3,3,제주도ㅎㅎ집,71.794632,-144.437492
1734,ㅁㅁ집,93418,5,3,2,1,3,3,1,제주도ㅁㅁ집,78.585757,139.987187
1735,멋진집,128934,7,4,4,4,5,7,4,제주도멋진집,12.292117,163.974317
1736,쿨한집,96463,6,5,4,1,2,4,3,제주도쿨한집,-63.617671,116.175286
1737,힙한집,47622,9,4,4,2,2,5,4,제주도힙한집,27.174749,159.411609
